Adj,Noun,Words,Group,Item,Level,Log_Freq,Log_TP,Length,Adj_Length,Task1,Task2,Correct_Task,Correct_Task_Num,Adj_Trigger,Target_Trigger,Task_Trigger
xqczbm,weapon,One,26,259,Super,4.062469166,NA,6,6,friend,foe,foe,2,15,5,25
bxdhxg,weapon,One,26,260,Super,4.062469166,NA,6,6,hunting,running,hunting,1,15,5,25
bddmhcvsq,bag,One,1,261,Basic,4.468937806,NA,3,9,carry,wear,carry,1,16,6,26
mlwtlxmjt,bag,One,1,262,Basic,4.468937806,NA,3,9,cooking,shopping,shopping,2,16,6,26
vwvnpfrm,game,One,2,263,Basic,5.028522453,NA,4,8,work,play,play,2,16,6,26
crwgpgtw,game,One,2,264,Basic,5.028522453,NA,4,8,boring,fun,fun,2,16,6,26
jsksbfh,wine,One,3,265,Basic,4.419922721,NA,4,7,eat,drink,drink,2,16,6,26
qgznhjt,wine,One,3,266,Basic,4.419922721,NA,4,7,glass,mug,glass,1,16,6,26
vfpzrd,bird,One,4,267,Basic,4.301637583,NA,4,6,walks,flies,flies,2,16,6,26
kvqfqw,bird,One,4,268,Basic,4.301637583,NA,4,6,burrow,nest,nest,2,16,6,26
vmdkqqtw,church,One,5,269,Basic,4.912317729,NA,6,8,business,religion,religion,2,16,6,26
qpnrlwlp,church,One,5,270,Basic,4.912317729,NA,6,8,catholic,jewish,catholic,1,16,6,26
swnvwbvm,pants,One,6,271,Basic,4.116906468,NA,5,8,long,short,long,1,16,6,26
hknmtmdn,pants,One,6,272,Basic,4.116906468,NA,5,8,denim,cardboard,denim,1,16,6,26
ggwgmqppf,bottle,One,7,273,Basic,4.216878142,NA,6,9,round,rectangular,round,1,16,6,26
fvkvtfgrh,bottle,One,7,274,Basic,4.216878142,NA,6,9,child,baby,baby,2,16,6,26
ltlpplpd,fish,One,8,275,Basic,4.674741762,NA,4,8,land,water,water,2,16,6,26
dqkhrsss,fish,One,8,276,Basic,4.674741762,NA,4,8,swim,run,swim,1,16,6,26
rxpqchd,pastry,One,9,277,Basic,3.473340964,NA,6,7,oil,butter,butter,2,16,6,26
spqrwvs,pastry,One,9,278,Basic,3.473340964,NA,6,7,bakery,restaurant,bakery,1,16,6,26
pxzncwhz,storm,One,10,279,Basic,4.323334619,NA,5,8,lightning,sun,lightning,1,16,6,26
hnlcxqdz,storm,One,10,280,Basic,4.323334619,NA,5,8,blue sky,cloudy sky,cloudy sky,2,16,6,26
thjjn,coffee,One,11,281,Basic,4.484000714,NA,6,5,blue,black,black,2,16,6,26
lnwjh,coffee,One,11,282,Basic,4.484000714,NA,6,5,caffeine,alcohol,caffeine,1,16,6,26
lkcqnvcd,house,One,12,283,Basic,5.384141861,NA,5,8,downtown,suburbs,suburbs,2,16,6,26
tcgxfmsm,house,One,12,284,Basic,5.384141861,NA,5,8,one room,multiple rooms,multiple rooms,2,16,6,26
dttfhj,wool,One,13,285,Basic,3.656098202,NA,4,6,knit,draw,knit,1,16,6,26
thdpkv,wool,One,13,286,Basic,3.656098202,NA,4,6,natural,artificial,natural,1,16,6,26
ndgh,cheese,One,14,287,Basic,4.28132886,NA,6,4,yellow,brown,yellow,1,16,6,26
kdpl,cheese,One,14,288,Basic,4.28132886,NA,6,4,dairy,meat,dairy,1,16,6,26
qtjmgz,whiskey,One,15,289,Basic,2.723455672,NA,7,6,Jameson,PBR,Jameson,1,16,6,26
pbmrjn,whiskey,One,15,290,Basic,2.723455672,NA,7,6,gold,red,gold,1,16,6,26
tzscfxqm,wood,One,16,291,Basic,4.455423534,NA,4,8,burns,melts,burns,1,16,6,26
svlmqflb,wood,One,16,292,Basic,4.455423534,NA,4,8,flower,tree,tree,2,16,6,26
cgsp,pasta,One,17,293,Basic,3.817895757,NA,5,4,rye,wheat,wheat,2,16,6,26
bxcn,pasta,One,17,294,Basic,3.817895757,NA,5,4,boil,fry,boil,1,16,6,26
hvvls,coin,One,18,295,Basic,3.543943942,NA,4,5,paper,metal,metal,2,16,6,26
xdvfn,coin,One,18,296,Basic,3.543943942,NA,4,5,square,round,round,2,16,6,26
fcx,dog,One,19,297,Basic,4.574656202,NA,3,3,unfriendly,friendly,friendly,2,16,6,26
tgs,dog,One,19,298,Basic,4.574656202,NA,3,3,fluffy,slimy,fluffy,1,16,6,26
bhgjq,flower,One,20,299,Basic,3.945025201,NA,6,5,leaves,petals,petals,2,16,6,26
rqnwh,flower,One,20,300,Basic,3.945025201,NA,6,5,bee,ant,bee,1,16,6,26
mpbkswn,snake,One,21,301,Basic,3.789510204,NA,5,7,hands,teeth,teeth,2,16,6,26
qsrttzh,snake,One,21,302,Basic,3.789510204,NA,5,7,crawl,slither,slither,2,16,6,26
gkrjg,nut,One,22,303,Basic,3.475089803,NA,3,5,shell,skin,shell,1,16,6,26
fbxtr,nut,One,22,304,Basic,3.475089803,NA,3,5,crack,crush,crack,1,16,6,26
zftjd,race,One,23,305,Basic,4.725985097,NA,4,5,feet,hands,feet,1,16,6,26
lpvsg,race,One,23,306,Basic,4.725985097,NA,4,5,speed,strength,speed,1,16,6,26
mllkjtsflp,tree,One,24,307,Basic,4.533606848,NA,4,10,fur,bark,bark,2,16,6,26
cfnsmvvglc,tree,One,24,308,Basic,4.533606848,NA,4,10,dig,climb,climb,2,16,6,26
vlqwqzv,car,One,25,309,Basic,5.029132057,NA,3,7,drive,sail,drive,1,16,6,26
dcmqpcj,car,One,25,310,Basic,5.029132057,NA,3,7,20 passengers,5 passengers,5 passengers,2,16,6,26
xqczbm,gun,One,26,311,Basic,4.533098112,NA,3,6,metal,plastic,plastic,2,16,6,26
bxdhxg,gun,One,26,312,Basic,4.533098112,NA,3,6,swing,shoot,shoot,2,16,6,26
bddmhcvsq,purse,One,1,313,Sub1,3.788451207,NA,5,9,brick,money,money,2,17,7,27
mlwtlxmjt,purse,One,1,314,Sub1,3.788451207,NA,5,9,shoulder,waist,shoulder,1,17,7,27
vwvnpfrm,chess,One,2,315,Sub1,3.489677292,NA,5,8,jack,bishop,bishop,2,17,7,27
crwgpgtw,chess,One,2,316,Sub1,3.489677292,NA,5,8,goal,checkmate,checkmate,2,17,7,27
jsksbfh,chardonnay,One,3,317,Sub1,2.915399835,NA,10,7,grape,apple,grape,1,17,7,27
qgznhjt,chardonnay,One,3,318,Sub1,2.915399835,NA,10,7,bush,vine,vine,2,17,7,27
vfpzrd,crow,One,4,319,Sub1,3.587374172,NA,4,6,white,black,black,2,17,7,27
kvqfqw,crow,One,4,320,Sub1,3.587374172,NA,4,6,omnivore,vegetarian,omnivore,1,17,7,27
vmdkqqtw,cathedral,One,5,321,Sub1,3.624694531,NA,9,8,big,small,big,1,17,7,27
qpnrlwlp,cathedral,One,5,322,Sub1,3.624694531,NA,9,8,bishop,priest,bishop,1,17,7,27
swnvwbvm,jeans,One,6,323,Sub1,3.977449227,NA,5,8,pocket,pouch,pocket,1,17,7,27
hknmtmdn,jeans,One,6,324,Sub1,3.977449227,NA,5,8,two legs,one leg,two legs,1,17,7,27
ggwgmqppf,flask,One,7,325,Sub1,2.883093359,NA,5,9,alcohol,juice,alcohol,1,17,7,27
fvkvtfgrh,flask,One,7,326,Sub1,2.883093359,NA,5,9,round,flat,flat,2,17,7,27
ltlpplpd,trout,One,8,327,Sub1,3.738384124,NA,5,8,ocean,lake,lake,2,17,7,27
dqkhrsss,trout,One,8,328,Sub1,3.738384124,NA,5,8,gills,lungs,gills,1,17,7,27
rxpqchd,croissant,One,9,329,Sub1,2.354108439,NA,9,7,chewy,flaky,flaky,2,17,7,27
spqrwvs,croissant,One,9,330,Sub1,2.354108439,NA,9,7,crescent,circle,crescent,1,17,7,27
pxzncwhz,hurricane,One,10,331,Sub1,3.990472054,NA,9,8,nose,eye,eye,2,17,7,27
hnlcxqdz,hurricane,One,10,332,Sub1,3.990472054,NA,9,8,drought,flood,flood,2,17,7,27
thjjn,espresso,One,11,333,Sub1,3.051538391,NA,8,5,italian,american,italian,1,17,7,27
lnwjh,espresso,One,11,334,Sub1,3.051538391,NA,8,5,light,dark,dark,2,17,7,27
lkcqnvcd,cottage,One,12,335,Sub1,3.67292869,NA,7,8,cake,gingerbread,gingerbread,2,17,7,27
tcgxfmsm,cottage,One,12,336,Sub1,3.67292869,NA,7,8,thatched,tiled,thatched,1,17,7,27
dttfhj,cashmere,One,13,337,Sub1,3.050766311,NA,8,6,sheep,goat,goat,2,17,7,27
thdpkv,cashmere,One,13,338,Sub1,3.050766311,NA,8,6,warm,not warm,warm,1,17,7,27
ndgh,cheddar,One,14,339,Sub1,3.073351702,NA,7,4,soft,hard,hard,2,17,7,27
kdpl,cheddar,One,14,340,Sub1,3.073351702,NA,7,4,Tennessee,Wisconsin,Wisconsin,2,17,7,27
qtjmgz,scotch,One,15,341,Sub1,3.266701967,NA,6,6,Ireland,Scotland,Scotland,2,17,7,27
pbmrjn,scotch,One,15,342,Sub1,3.266701967,NA,6,6,sip,gulp,sip,1,17,7,27
tzscfxqm,maple,One,16,343,Sub1,3.593396842,NA,5,8,California,Canada,Canada,2,17,7,27
svlmqflb,maple,One,16,344,Sub1,3.593396842,NA,5,8,syrup,juice,syrup,1,17,7,27
cgsp,spaghetti,One,17,345,Sub1,3.286905353,NA,9,4,tofu,meatballs,meatballs,2,17,7,27
bxcn,spaghetti,One,17,346,Sub1,3.286905353,NA,9,4,short,long,long,2,17,7,27
hvvls,penny,One,18,347,Sub1,3.737192643,NA,5,5,silver,copper,copper,2,17,7,27
xdvfn,penny,One,18,348,Sub1,3.737192643,NA,5,5,small,big,small,1,17,7,27
fcx,poodle,One,19,349,Sub1,2.764922985,NA,6,3,straight hair,curly hair,curly hair,2,17,7,27
tgs,poodle,One,19,350,Sub1,2.764922985,NA,6,3,brown,white,white,2,17,7,27
bhgjq,daisy,One,20,351,Sub1,3.327971624,NA,5,5,cut,pick,pick,2,17,7,27
rqnwh,daisy,One,20,352,Sub1,3.327971624,NA,5,5,sky,earth,earth,2,17,7,27
mpbkswn,python,One,21,353,Sub1,2.814913181,NA,6,7,non-venomous,venomous,non-venomous,1,17,7,27
qsrttzh,python,One,21,354,Sub1,2.814913181,NA,6,7,constricting,non-constricting,constricting,1,17,7,27
gkrjg,almond,One,22,355,Sub1,3.189490314,NA,6,5,milk,juice,milk,1,17,7,27
fbxtr,almond,One,22,356,Sub1,3.189490314,NA,6,5,chocolate,marzipan,marzipan,2,17,7,27
zftjd,marathon,One,23,357,Sub1,3.501196242,NA,8,5,long,short,long,1,17,7,27
lpvsg,marathon,One,23,358,Sub1,3.501196242,NA,8,5,tiring,not tiring,tiring,1,17,7,27
mllkjtsflp,oak,One,24,359,Sub1,3.985471383,NA,3,10,chestnut,acorn,acorn,2,17,7,27
cfnsmvvglc,oak,One,24,360,Sub1,3.985471383,NA,3,10,straight leaf,curvy leaf,curvy leaf,2,17,7,27
vlqwqzv,jeep,One,25,361,Sub1,3.504062883,NA,4,7,big tires,small tires,big tires,1,17,7,27
dcmqpcj,jeep,One,25,362,Sub1,3.504062883,NA,4,7,closed back,open back,open back,2,17,7,27
xqczbm,pistol,One,26,363,Sub1,3.658774321,NA,6,6,trigger,button,trigger,1,17,7,27
bxdhxg,pistol,One,26,364,Sub1,3.658774321,NA,6,6,holster,scabbard,holster,1,17,7,27
bddmhcvsq,satchel,One,1,365,Sub2,2.893206753,NA,7,9,books,toys,books,1,18,8,28
mlwtlxmjt,satchel,One,1,366,Sub2,2.893206753,NA,7,9,strap,belt,strap,1,18,8,28
vwvnpfrm,scrabble,One,2,367,Sub2,2.770115295,NA,8,8,board,mat,board,1,18,8,28
crwgpgtw,scrabble,One,2,368,Sub2,2.770115295,NA,8,8,numbers,letters,letters,2,18,8,28
jsksbfh,merlot,One,3,369,Sub2,2.625312451,NA,6,7,decanter,pitcher,decanter,1,18,8,28
qgznhjt,merlot,One,3,370,Sub2,2.625312451,NA,6,7,acidic,smooth,smooth,2,18,8,28
vfpzrd,heron,One,4,371,Sub2,2.910090546,NA,5,6,long beak,short beak,long beak,1,18,8,28
kvqfqw,heron,One,4,372,Sub2,2.910090546,NA,5,6,wings,arms,wings,1,18,8,28
vmdkqqtw,basilica,One,5,373,Sub2,2.73479983,NA,8,8,unholy,holy,holy,2,18,8,28
qpnrlwlp,basilica,One,5,374,Sub2,2.73479983,NA,8,8,Antarctica,Europe,Europe,2,18,8,28
swnvwbvm,capris,One,6,375,Sub2,1.73239376,NA,6,8,winter,summer,summer,2,18,8,28
hknmtmdn,capris,One,6,376,Sub2,1.73239376,NA,6,8,ankle,calf,calf,2,18,8,28
ggwgmqppf,thermos,One,7,377,Sub2,2.770852012,NA,7,9,no lid,lid,lid,2,18,8,28
fvkvtfgrh,thermos,One,7,378,Sub2,2.770852012,NA,7,9,metal,paper,metal,1,18,8,28
ltlpplpd,guppy,One,8,379,Sub2,1.707570176,NA,5,8,slimy,dry,slimy,1,18,8,28
dqkhrsss,guppy,One,8,380,Sub2,1.707570176,NA,5,8,small,big,small,1,18,8,28
rxpqchd,brioche,One,9,381,Sub2,2.158362492,NA,7,7,cream,bread,bread,2,18,8,28
spqrwvs,brioche,One,9,382,Sub2,2.158362492,NA,7,7,fluffy,dense,fluffy,1,18,8,28
pxzncwhz,tornado,One,10,383,Sub2,3.374198258,NA,7,8,coast,midwest,midwest,2,18,8,28
hnlcxqdz,tornado,One,10,384,Sub2,3.374198258,NA,7,8,vortex,hole,vortex,1,18,8,28
thjjn,latte,One,11,385,Sub2,2.706717782,NA,5,5,barista,bartender,barista,1,18,8,28
lnwjh,latte,One,11,386,Sub2,2.706717782,NA,5,5,water,milk,milk,2,18,8,28
lkcqnvcd,bungalow,One,12,387,Sub2,3.02325246,NA,8,8,big,small,small,2,18,8,28
tcgxfmsm,bungalow,One,12,388,Sub2,3.02325246,NA,8,8,colonial,european,colonial,1,18,8,28
dttfhj,merino,One,13,389,Sub2,2.187520721,NA,6,6,constricting,breathable,breathable,2,18,8,28
thdpkv,merino,One,13,390,Sub2,2.187520721,NA,6,6,sheep,cow,sheep,1,18,8,28
ndgh,camembert,One,14,391,Sub2,1.838849091,NA,9,4,watery,creamy,creamy,2,18,8,28
kdpl,camembert,One,14,392,Sub2,1.838849091,NA,9,4,German,French,French,2,18,8,28
qtjmgz,bourbon,One,15,393,Sub2,3.237040791,NA,7,6,Kentucky,Maine,Kentucky,1,18,8,28
pbmrjn,bourbon,One,15,394,Sub2,3.237040791,NA,7,6,straight,mixed,straight,1,18,8,28
tzscfxqm,balsa,One,16,395,Sub2,2.217483944,NA,5,8,firm,pliable,pliable,2,18,8,28
svlmqflb,balsa,One,16,396,Sub2,2.217483944,NA,5,8,heavy,light,light,2,18,8,28
cgsp,ziti,One,17,397,Sub2,2.008600172,NA,4,4,baked,fried,baked,1,18,8,28
bxcn,ziti,One,17,398,Sub2,2.008600172,NA,4,4,smooth,ridges,smooth,1,18,8,28
hvvls,dime,One,18,399,Sub2,3.381295623,NA,4,5,5,10,10,2,18,8,28
xdvfn,dime,One,18,400,Sub2,3.381295623,NA,4,5,thick,thin,thin,2,18,8,28
fcx,dachshund,One,19,401,Sub2,2.1430148,NA,9,3,short body,long body,long body,2,18,8,28
tgs,dachshund,One,19,402,Sub2,2.1430148,NA,9,3,tall,short,short,2,18,8,28
bhgjq,daffodil,One,20,403,Sub2,2.181843588,NA,8,5,odorless,fragrant,fragrant,2,18,8,28
rqnwh,daffodil,One,20,404,Sub2,2.181843588,NA,8,5,pollen,dust,pollen,1,18,8,28
mpbkswn,mamba,One,21,405,Sub2,1.986771734,NA,5,7,black,brown,black,1,18,8,28
qsrttzh,mamba,One,21,406,Sub2,1.986771734,NA,5,7,dangerous,safe,dangerous,1,18,8,28
gkrjg,cashew,One,22,407,Sub2,2.29666519,NA,6,5,kidney-shaped,heart-shaped,kidney-shaped,1,18,8,28
fbxtr,cashew,One,22,408,Sub2,2.29666519,NA,6,5,unhealthy,nutritious,nutritious,2,18,8,28
zftjd,biathlon,One,23,409,Sub2,2.117271296,NA,8,5,rifle,bow,rifle,1,18,8,28
lpvsg,biathlon,One,23,410,Sub2,2.117271296,NA,8,5,ski,canoe,ski,1,18,8,28
mllkjtsflp,spruce,One,24,411,Sub2,3.20709554,NA,6,10,leaf,needle,needle,2,18,8,28
cfnsmvvglc,spruce,One,24,412,Sub2,3.20709554,NA,6,10,deciduous,evergreen,evergreen,2,18,8,28
vlqwqzv,limousine,One,25,413,Sub2,3.13481437,NA,9,7,self-drive,chauffered,chauffered,2,18,8,28
dcmqpcj,limousine,One,25,414,Sub2,3.13481437,NA,9,7,short,long,long,2,18,8,28
xqczbm,musket,One,26,415,Sub2,2.694605199,NA,6,6,short,long ,long ,2,18,8,28
bxdhxg,musket,One,26,416,Sub2,2.694605199,NA,6,6,old,new,old,1,18,8,28
